name,bundleId
WeChat,com.tencent.xin
NOMORAW,com.blink.academy.nomoraw
DouYin,com.ss.iphone.ugc.Aweme
XianYu,com.taobao.fleamarket
MailMasterPro,com.netease.mailmasterpro
NOMOCAM,com.blink.academy.nomo
X,com.atebits.Tweetie2
AppInfo,uclort.com.AppInfo
Twitter,com.atebits.Tweetie2
Infuse,com.firecore.infuse
Douyin,com.ss.iphone.ugc.Aweme
BaiduMap,com.baidu.map.watchkitapp
GaoDeMap,com.autonavi.amap
Asspp,wiki.qaq.Asspp
amap,com.autonavi.amap
Asspp+,com.hdnwbtb.uixnoe
BigBrotherMovies,com.yunti.zzm.dxiao
LINE,jp.naver.line
Aweme,com.ss.iphone.ugc.Aweme
Instagram,com.burbn.instagram
MuffinStoreJailed,dev.mineek.MuffinStoreJailed
com.burbn.instagram_362.0.0_regram_1.0.b20_sl,com.burbn.instagram
